user,posted_on,description,post_url,comment_count,like_count,media_type,media_count,media_file_1,media_file_2,media_file_3,media_file_4,media_file_5,media_file_6,media_file_7,media_file_8,media_file_9
iwonapodlasinska,2021-03-26 10:53:01,"Hi, there is a new video on my website - day to night transformation in Lightroom only. 
http://iwonapodlasinska.com/course/moon-festival/?lang=en 
At the same time, I would like to announce that now you can view my tutorials on my website with no time limitations. New videos are coming up soon. Let me know which images I should record. 
And now you can get all products on my website 20% off with the code 
SPRING2021
Cupon expires 31.04.2021
------------------------------------------
Witajcie kochani,
Po dość długo trwających zmianach an mojej stronie mogę wreszcie ogłosić, że już są deostępne nowe tutoriale. Zaczynam od tej transformacji dnia w noc przy użyciu tylko Lightroom'a.
http://iwonapodlasinska.com/course/festiwal-ksiezyca/
I dobre wieści, teraz filmy można oglądać bezpośrednio u mine na stronie bez limitów czasowych.
Tylko do końca kwietnia wszystkie produkty dostępne są z rabatem 20%, kod 
SPRING2021",https://www.instagram.com/p/CM4-LoKF1s5,20,1175,8,2,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/165893996_953022501901177_425658765585595362_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=T84AEGsE6-wAX-LngAs&ccb=7-4&oh=b7441b93f8542705e48df982c209a2e1&oe=6088945A&_nc_sid=6136e7&ig_cache_key=MjUzODA1MTg2NTY4MzYxNDE3Nw%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/164832686_1168910953542100_6883843490040441460_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eMjv2ovErrMAX8djkr6&ccb=7-4&oh=72dca3563aa0a04a1d7655f1044fb75c&oe=60885568&_nc_sid=6136e7&ig_cache_key=MjUzODA1MTY0MzUxMjIxOTgxOQ%3D%3D.2-ccb7-4,,,,,,,
iwonapodlasinska,2021-03-21 12:56:20,"Baltic
I never posted photos from my workshop in Kołobrzeg, Poland. I think it's because so much was going on in the fall. I feel like nothing is going on right now 😂 . Oh yes, because we are under lockdown... But that leaves a lot of time for me to finish my incoming e-book (it will be available in June of July)
----------------------------------------
Bałtyk...
Oto kilka zdjęć z moich warsztatów w Kołobrzegu. Kolejne w październku. Zainteresowanych proszę o kontakt :)",https://www.instagram.com/p/CMpvhkOl0lV,33,2464,8,4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/162401819_772999623329719_399232740258714761_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Psa9448ohzQAX_cLM0L&ccb=7-4&oh=43c53ef02980c6da5379c7684f082a66&oe=6087F78F&_nc_sid=6136e7&ig_cache_key=MjUzMzc2NTI3NzE2NDE0MDU0Nw%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/162526489_4431735186853720_1676371950870572532_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=VjgaompCSSgAX8TRNVM&ccb=7-4&oh=5f2ccd05fa939c9d079249ba5121b78b&oe=6086E913&_nc_sid=6136e7&ig_cache_key=MjUzMzc2NTI3NzE0NzQ2MTc5NA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/162497378_805502280173742_8447113963886590346_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=3aMd4Kh8zvwAX-MjHbV&ccb=7-4&oh=f8733867e773bef658fef3eced2f8ef2&oe=60888A9A&_nc_sid=6136e7&ig_cache_key=MjUzMzc2NTI3NzI1NjMwNTQwNA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/161029801_132573232070359_1230980322111618333_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=WthINvYfozwAX86ZR47&ccb=7-4&oh=44977c9bfd9c2ac8754ef55ddfdd8ee1&oe=6088DA2C&_nc_sid=6136e7&ig_cache_key=MjUzMzc2NTI3NzEzODg0MzcwNQ%3D%3D.2-ccb7-4,,,,,
iwonapodlasinska,2021-03-15 05:52:19,"Streets of Warsaw.

Ostatnie podrygi zimy na ulicach Warszawy...
Zapraszam w tą sobotę 20 marca na kameralne warsztaty z sesją na ulicach Warszawy
Informacje znajdziecie na stronie Studia Huśtawka, link w moim bio",https://www.instagram.com/p/CMcHBnWFEGU,29,2612,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/160616181_239315441227144_2133273447441860434_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=wHnGlqm3F3QAX-3iHgW&ccb=7-4&oh=94084b51288cdf141a7a96dd589339f1&oe=60891425&_nc_sid=6136e7&ig_cache_key=MjUyOTkyNzk4Nzk2Njc4Nzk4OA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2021-03-10 07:20:17,"Meet Bella :)
It's so hard to photograph a puppy, but I'm just starting. We had her for a week now, and she is settling down. If you follow me on Instagram, you have probably seen her on my Stories. Next week, I will take her for a walk outside of our garden and hopefully capture some moments with my kids. 
I wish you all a great day ahead :)
----------------------------------------------
Poznajcie Bellę!
Musze przyznać, że cieżko jest fotografować szczeniaka :) ale dopieo zaczynamy. Bella jest u nas od tygodnia. Jeśli obserwujecie mine an Instagramie to pewnie widzieliście kilka filmików.
W przyszłym tygodniu zacznę zabierać ją an spacery poza ogródek i wtedy może uda mi się uchwycić jakieś momenty z dziećmi.
Na razie życzę wam miłego dnia :) #iwonapodlasinska #petphotography #cockerspaniel #cockerdream #cockerspanielpuppy",https://www.instagram.com/p/CMPZHjRF3Zu,42,1991,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/158888299_1017353362129194_400490095604368316_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=inBBQeuUsFQAX_b2W2T&ccb=7-4&oh=67f3cc36306dde584280a5f965e57272&oe=60873B4E&_nc_sid=6136e7&ig_cache_key=MjUyNjM0ODM4NjA0NDk2NjUxMA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2021-03-06 01:45:54,"Love for animals
These photos were taken during my workshop in Poland
--------------------------------------------------
Miłość do zwierzątek
Ula i Kornalka podczas warsztatów w @stajniapodolin 
powrócę tam na jesień- ktoś chętny na takie warsztaty? :)
#iwonapodlasinska #kidsandanimals #sigmalens #sonya7iii #fansy_kids",https://www.instagram.com/p/CMDNRcplq95,30,2382,8,3,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/157292051_181703120145370_3261259048243838704_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=rf1WiC71c7wAX-Seu99&ccb=7-4&oh=287d2c4b16ea686491ff82454c04cd6e&oe=6089594A&_nc_sid=6136e7&ig_cache_key=MjUyMjkxODU4NzMzOTE3Mjk2Nw%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/157008480_319224686227094_6808681977304029650_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=gI4zpZCJQFAAX-Q0TJw&ccb=7-4&oh=c97a933fa6f7860ed501eead3914ee4a&oe=608706D6&_nc_sid=6136e7&ig_cache_key=MjUyMjkxODU4NzM1NjAzODg4MA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/156577541_239847844518733_2322102501758522400_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Qb2AeMgZX6YAX_0D0_H&ccb=7-4&oh=1e1864427416ce1b71dc5b81d1be3831&oe=60892783&_nc_sid=6136e7&ig_cache_key=MjUyMjkxODU4NzM2NDM4MjgxNQ%3D%3D.2-ccb7-4,,,,,,
iwonapodlasinska,2021-03-02 01:22:02,"Uphill 
Taken during my workshop in @stajniapodolin last week.
We had the first warm day after a snowy winter. You can still see some snow on the hills behind them. 
Taken with Sony A7III and Sigma Art 135mm 1.8
-------------------------------------------------------
Na wrzgórzach...
Ula an moich warsztatach w @stajniapodolin w zeszłym tygodniu. 
Bardzo dziękuję @zanetaszmytka za pomoc z osiołkiem.
Zdjęcia wykonałam Sony A7III i Sigma Art 135mm 1.8 #sonyalpha #sigmaart @sigmafotopolska #135mm18 #childhood #childrenphotography #beautifullight #flickrfeature #fansy_kids",https://www.instagram.com/p/CL43XMklGtB,27,1459,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/155189689_817040079160659_914898211633863751_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=aDju5QGcJDcAX_J1Ewm&ccb=7-4&oh=43e058d56e4c5d260f42cbdcfac20c54&oe=60897F4D&_nc_sid=6136e7&ig_cache_key=MjUyMDAwNzQ3ODExODQ3NjYwOQ%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2021-03-01 01:08:48,"I had an amazing time this weekend during my workshop in Stajnia Podolin. I love all the photos, I can't wait to share them with you.
The first one is the first shot taken during this shooting. Sweet Kornelia waiting with the suitcase in front of the door.  Photos taken with Sigma Art 50mm 1.4 and Sony A7III 
--------------------------------------
Ostatnie warsztaty w Stajni Podolin były an prawdę udane. Nie mogę się doczekać aż podzielę się z wami zdjęciami.
Oto śliczna kornelia czekająca na wyjście z walizką.
dziękuję @stajniapodolin i @zanetaszmytka za pomoc. #sigmapolska #50mm14 #sonya7iii @sonyportraits @sonyalphapl #sonyalpha #creativeportraits #beautifullight #lightrays #childrenphotography #fansy_kids #heart_imprint",https://www.instagram.com/p/CL2RDV2lvBM,62,3246,8,5,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/155559834_756965195248184_6729710560332822543_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Fmy1S0V042EAX-ASJoC&ccb=7-4&oh=1c479558c4c36f54d664bcd38795ffef&oe=6086F72E&_nc_sid=6136e7&ig_cache_key=MjUxOTI3NjAzNTI1NTk5Mzk1Mg%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/155040200_339218204083690_492371673374354391_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=vCDjaH3xq4oAX-oHI8T&ccb=7-4&oh=4a78d8b7ca07ab38431f0f62263cc04a&oe=60881060&_nc_sid=6136e7&ig_cache_key=MjUxOTI3NjAzNTEyMTYzNDEyNA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/155055948_254836556115982_6377000434202101164_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=s9fLg7SMd_oAX_ee-BC&ccb=7-4&oh=0ee8984ba7efb213abd131686360b7bb&oe=6088B381&_nc_sid=6136e7&ig_cache_key=MjUxOTI3NjAzNTIzOTIwNjE3MA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/154411396_258078875811591_1209569106434334162_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=vvVaIF6WY_AAX-gXFmT&ccb=7-4&oh=5628e76a3e32d893e2fd69153b1d2a4c&oe=6089F957&_nc_sid=6136e7&ig_cache_key=MjUxOTI3NjAzNTEzMDEyMTk2Nw%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/155513152_116555353778219_8782196670286994917_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=L5OqcqoB-3sAX8QEjWP&ccb=7-4&oh=7c7e31fd27a563037694d09e054972be&oe=608A13AE&_nc_sid=6136e7&ig_cache_key=MjUxOTI3NjAzNTI0NzYzNDMxNw%3D%3D.2-ccb7-4,,,,
iwonapodlasinska,2021-02-21 11:04:39,Winter day with Olaf and Amber. It was taken during my workshop I organized for a few photographers at my home. I asked my neighbor to come with us with her dog Amber. The workshop was fun. I think my students learned a lot about my approach to photography. And it was nice to take them on a walk with me to show them my favorite shooting locations..... next gripe workshop at my home is planned in August.,https://www.instagram.com/p/CLkBR88lra1,24,2366,8,3,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/151843326_1142968269497192_5846916938817751999_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=inWdrUVBg2kAX8FovzC&ccb=7-4&oh=aae703de98558d4d9e9dbb13c7c47840&oe=6088C549&_nc_sid=6136e7&ig_cache_key=MjUxNDE0MDEyMTA4OTQxMDk2Mw%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/151748016_1388143281521913_997982774416829733_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=KNUE0cFyLboAX99G647&ccb=7-4&oh=bea464aa414a55cf10cea036642ce39b&oe=60870DF1&_nc_sid=6136e7&ig_cache_key=MjUxNDE0MDEyMDk5NzA1NTI1OQ%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/152142059_570663660575847_8943671134153279070_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_uFutX-4cTkAX936k54&ccb=7-4&oh=f90e722833c1123aa9152a9721070bcd&oe=6086D79B&_nc_sid=6136e7&ig_cache_key=MjUxNDE0MDEyMDk4MDM3ODc4Nw%3D%3D.2-ccb7-4,,,,,,
iwonapodlasinska,2021-02-19 06:32:17,The coldest day this winter. You can see that in the snow. It was soft and shiny. I will miss that,https://www.instagram.com/p/CLeYhWgF5EZ,5,988,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/151790052_865010594350716_7644381496241604348_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=_5Yh85inEAYAX8Lnxcm&ccb=7-4&oh=9dd196059066481945102d6493b74d5d&oe=60881F62&_nc_sid=6136e7&ig_cache_key=MjUxMjU1MzQ4NzEzOTA0OTc1Mw%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2021-02-18 11:32:18,"together always warm...
From my recent workshop in Kielce :) 
It was super cold but we managed to take a few photos.
-------------------------------------------------------
Razem zawsze ciepło...
To zdjęcie z ostatnich warsztatów w Kielcach 
Było bardzo zimno, ale daliśmy radę :)",https://www.instagram.com/p/CLcWDx_FZbs,27,1828,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/151187354_426604478420712_5173506665998666874_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=oy-JwEfo9YEAX_qPUpH&ccb=7-4&oh=8dd508723082c031ebefba63ea5776d2&oe=6088DB99&_nc_sid=6136e7&ig_cache_key=MjUxMTk3OTcwOTAxOTI5NzUxNg%3D%3D.2-ccb7-4,,,,,,,,
